lift
6387.148855
10706.21744
14596.77754
17591.83047
19690.23637
21041.15806
21820.13425
22166.44015
22155.35963
21904.77561
21979.82093
21927.91746
21734.45907
21392.26198
21392.26198
21734.45907
21927.91746
21979.82093
21904.77561
22155.35963
22166.44015
21820.13425
21041.15806
19690.23637
17591.83047
14596.77754
10706.21744
6387.148855
