criteria, concept1, concept2, concept3, concept5, concept5, 
Original Weights,3.2,3.4000000000000004,3.5,3.2,2.4000000000000004
Reliability -1,3.1111111111111116,3.444444444444444,3.5555555555555554,3.222222222222222,2.444444444444444
Reliability +1,3.272727272727273,3.3636363636363633,3.454545454545455,3.1818181818181817,2.3636363636363638
Maintainability +1,3.272727272727273,3.3636363636363633,3.3636363636363633,3.1818181818181817,2.3636363636363638
Controllability -1,3.0,3.333333333333333,3.555555555555556,2.9999999999999996,2.333333333333333
Controllability +1,3.3636363636363638,3.454545454545454,3.454545454545455,3.3636363636363633,2.4545454545454546
Peak power -1,3.4444444444444446,3.4444444444444446,3.3333333333333335,3.3333333333333335,2.444444444444444
Peak power +1,3.0000000000000004,3.3636363636363633,3.6363636363636367,3.090909090909091,2.3636363636363633
Takeoff weight -1,3.3333333333333335,3.333333333333333,3.4444444444444446,3.2222222222222228,2.333333333333333
Takeoff weight +1,3.090909090909091,3.454545454545454,3.5454545454545454,3.1818181818181817,2.454545454545454
